pl_name,hostname,sy_dist,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbeccen,pl_orbincl,st_teff,st_rad,st_mass,disc_year,discoverymethod,disc_facility
"Kepler-22 b","Kepler-22",194.64200000,289.86387600000,2.10000000,9.10000000,279.00,0.720000,89.76400,5596.00,0.869000,0.857000,2011,"Transit","Kepler"
"Kepler-107 c","Kepler-107",525.99700000,4.90145200000,1.59700000,10.00000000,1378.00,0.080000,89.49000,5854.00,1.447000,1.238000,2014,"Transit","Kepler"
"Kepler-969 b","Kepler-969",390.35400000,34.17317140000,2.07000000,,,,,5214.00,0.820000,0.920000,2016,"Transit","Kepler"
"Kepler-1443 b","Kepler-1443",593.64600000,2.41811321000,0.97000000,,,,,6289.00,1.270000,1.190000,2016,"Transit","Kepler"
"OGLE-2014-BLG-0319L b","OGLE-2014-BLG-0319L",7730.00000000,,,181.16219199,,,,,,0.520000,2022,"Microlensing","OGLE"
"K2-395 c","K2-395",286.72700000,8.49128200000,3.39500000,,,,,5007.00,0.783000,0.952000,2022,"Transit","K2"
"K2-280 b","K2-280",391.53700000,19.89526000000,7.50000000,37.10000000,787.00,0.350000,89.53000,5500.00,1.280000,1.030000,2018,"Transit","K2"
"K2-152 b","K2-152",108.44900000,32.64790000000,2.29000000,,337.00,,,4044.00,0.610000,0.630000,2018,"Transit","K2"
"KMT-2018-BLG-0087L b","KMT-2018-BLG-0087L",7020.00000000,,,73.10053361,,,,,,0.100000,2022,"Microlensing","KMTNet"
"Kepler-283 b","Kepler-283",468.09400000,11.00815100000,2.13000000,,,,,4351.00,0.566000,,2014,"Transit","Kepler"
"Kepler-1093 c","Kepler-1093",1072.88000000,89.72229200000,1.96000000,,,,,6166.00,1.200000,1.130000,2016,"Transit","Kepler"
"Kepler-1941 b","Kepler-1941",1494.39000000,31.33510017000,2.64976949,,,,,6404.00,1.142000,1.175000,2021,"Transit","Kepler"
"Kepler-1888 b","Kepler-1888",402.94700000,11.39169979000,1.32578716,,,,,5557.00,1.249000,0.897000,2021,"Transit","Kepler"
"Kepler-1315 b","Kepler-1315",480.86900000,0.84338011000,1.38000000,,,,,4861.00,0.750000,0.800000,2016,"Transit","Kepler"
"HD 27631 b","HD 27631",50.28620000,2198.14000000000,,474.83802000,,0.141000,,5737.00,0.923000,0.944000,2012,"Radial Velocity","La Silla Observatory"
"Kepler-1330 b","Kepler-1330",1720.48000000,10.10769068000,1.65000000,,,,,5608.00,0.940000,0.970000,2016,"Transit","Kepler"
"Kepler-1664 b","Kepler-1664",626.69100000,14.38680000000,3.03320653,,,,,5735.81,,,2020,"Transit","Kepler"
"Kepler-1172 b","Kepler-1172",1306.53000000,26.02044230000,3.20000000,,,,,5558.00,0.890000,0.920000,2016,"Transit","Kepler"
"Kepler-251 c","Kepler-251",924.62500000,16.51404300000,2.77000000,,,,,5526.00,0.890000,,2014,"Transit","Kepler"
"Kepler-1186 b","Kepler-1186",1337.25000000,16.07677615000,2.23000000,,,,,5635.00,0.930000,0.950000,2016,"Transit","Kepler"
"Kepler-1979 b","Kepler-1979",1076.27000000,18.50845260000,29.33000000,,683.00,0.000000,77.63000,5942.00,0.938000,1.028000,2023,"Transit","Kepler"
"G 261-6 b","G 261-6",10.62670000,5.45360000000,,1.37000000,322.30,0.000000,,,,0.118000,2025,"Radial Velocity","Calar Alto Observatory"
"Kepler-83 d","Kepler-83",400.40900000,5.16979600000,1.94000000,,,,,4648.00,0.594000,,2014,"Transit","Kepler"
"Kepler-801 b","Kepler-801",440.42600000,11.41928253000,2.00000000,,,,,4435.00,0.630000,0.670000,2016,"Transit","Kepler"
"Kepler-868 b","Kepler-868",1593.13000000,5.03251791000,2.05000000,,,,,5614.00,0.890000,0.930000,2016,"Transit","Kepler"
"HD 23596 b","HD 23596",52.00180000,1535.11912000000,,3786.60764100,,0.282000,38.89800,,,1.100000,2003,"Radial Velocity","Haute-Provence Observatory"
"HD 99706 c","HD 99706",146.60000000,1278.00000000000,,1808.45270000,,0.411000,,,,1.720000,2018,"Radial Velocity","W. M. Keck Observatory"
"PSR B0329+54 b","PSR B0329+54",,10140.00000000000,,1.97000000,,0.236000,,,,1.440000,2017,"Pulsar Timing","Multiple Facilities"
"HD 221585 b","HD 221585",55.85350000,1173.00000000000,,511.70630000,,0.123000,,5620.00,,1.190000,2016,"Radial Velocity","Haute-Provence Observatory"
"EPIC 201497682 b","EPIC 201497682",253.02600000,2.13174000000,0.69200000,,,,,,,0.780000,2019,"Transit","K2"
"Kepler-1509 b","Kepler-1509",2002.96000000,25.43381970000,1.85000000,,,,,5780.00,0.990000,1.000000,2016,"Transit","Kepler"
"Kepler-758 b","Kepler-758",1502.32000000,12.10971040000,2.48000000,,,,,6228.00,1.420000,1.160000,2016,"Transit","Kepler"
"WASP-157 b","WASP-157",334.03700000,3.95162300000,11.19000000,,1193.00,,,5772.00,1.100000,1.060000,2016,"Transit","SuperWASP"
"Kepler-80 b","Kepler-80",369.45100000,7.05246000000,2.67000000,6.93000000,,,89.34000,4540.00,0.678000,0.730000,2012,"Transit","Kepler"
"Kepler-1059 b","Kepler-1059",713.16700000,3.76419104800,1.73000000,,,,,4906.00,0.720000,0.750000,2016,"Transit","Kepler"
"Kepler-1504 b","Kepler-1504",2435.94000000,82.30400300000,2.13000000,,,,,5393.00,0.810000,0.850000,2016,"Transit","Kepler"
"Kepler-1335 b","Kepler-1335",621.85300000,6.26406846000,1.45000000,,,,,4903.00,0.740000,0.770000,2016,"Transit","Kepler"
"Kepler-355 c","Kepler-355",1432.17000000,25.76229400000,2.71000000,,,,,6184.00,1.066000,,2014,"Transit","Kepler"
"Kepler-1426 b","Kepler-1426",1697.81000000,14.25632270000,1.56000000,,,,,5831.00,1.020000,1.020000,2016,"Transit","Kepler"
"KOI-351 b","KOI-351",848.25400000,7.00815100000,1.31000000,,,,89.40000,6080.00,1.200000,1.200000,2013,"Transit","Kepler"
